"c";"k";"batch_size";"units";"epochs";"rmse"
8;1;1;1;1;0,18195428969357
8;1;1;1;5;0,11683163126953
8;1;1;1;10;0,120514476153353
8;1;1;8;1;0,143254403224223
8;1;1;8;5;0,143730158783052
8;1;1;8;10;0,133369098875225
8;1;1;16;1;0,145638564978261
8;1;1;16;5;0,139444733011283
8;1;1;16;10;0,132912064875065
8;1;1;32;1;0,156816455893802
8;1;1;32;5;0,149567070033804
8;1;1;32;10;0,138689498823034
8;1;1;64;1;0,165852633646578
8;1;1;64;5;0,152800129819752
8;1;1;64;10;0,137613339820973
8;1;7;1;1;0,117358610576475
8;1;7;1;5;0,149575300021651
8;1;7;1;10;0,10875122121925
8;1;7;8;1;0,111097539778859
8;1;7;8;5;0,109489125553963
8;1;7;8;10;0,110816532738742
8;1;7;16;1;0,113204852533664
8;1;7;16;5;0,111492175515856
8;1;7;16;10;0,110349141704412
8;1;7;32;1;0,112406256929853
8;1;7;32;5;0,111823173728501
8;1;7;32;10;0,111557062975375
8;1;7;64;1;0,111810284278905
8;1;7;64;5;0,113131907616388
8;1;7;64;10;0,11281508999196
8;1;30;1;1;0,247875138127637
8;1;30;1;5;0,113023286649329
8;1;30;1;10;0,132659283671857
8;1;30;8;1;0,109980779472283
8;1;30;8;5;0,110759230837977
8;1;30;8;10;0,108896958738111
8;1;30;16;1;0,113607967835485
8;1;30;16;5;0,108883658972288
8;1;30;16;10;0,109309336124501
8;1;30;32;1;0,11134195760208
8;1;30;32;5;0,108679360942516
8;1;30;32;10;0,10924113724904
8;1;30;64;1;0,108345817474314
8;1;30;64;5;0,110630400057458
8;1;30;64;10;0,110380776673465
8;2;1;1;1;0,132018753565464
8;2;1;1;5;0,127678727885565
8;2;1;1;10;0,134331229731219
8;2;1;8;1;0,157430347484468
8;2;1;8;5;0,146350885066375
8;2;1;8;10;0,142292566695338
8;2;1;16;1;0,158107398383732
8;2;1;16;5;0,15814501598293
8;2;1;16;10;0,141495603817629
8;2;1;32;1;0,17256114589177
8;2;1;32;5;0,154299368069452
8;2;1;32;10;0,142497874324371
8;2;1;64;1;0,184444183192898
8;2;1;64;5;0,156230491936527
8;2;1;64;10;0,143190296079435
8;2;7;1;1;0,399415415459845
8;2;7;1;5;0,128896806571995
8;2;7;1;10;0,124327657944153
8;2;7;8;1;0,115380561482401
8;2;7;8;5;0,113103071369693
8;2;7;8;10;0,108141668270432
8;2;7;16;1;0,119652056340251
8;2;7;16;5;0,121643990389466
8;2;7;16;10;0,109746900101991
8;2;7;32;1;0,15584357153648
8;2;7;32;5;0,111790070452153
8;2;7;32;10;0,108183167245885
8;2;7;64;1;0,156741834703712
8;2;7;64;5;0,117753736881465
8;2;7;64;10;0,109783853276528
8;2;30;1;1;0,177277022646874
8;2;30;1;5;0,131967131305962
8;2;30;1;10;0,115004770029818
8;2;30;8;1;0,190202764810627
8;2;30;8;5;0,11579791077946
8;2;30;8;10;0,115919475858018
8;2;30;16;1;0,185914541584816
8;2;30;16;5;0,11807017496421
8;2;30;16;10;0,113517315843583
8;2;30;32;1;0,120126531412835
8;2;30;32;5;0,115327146361924
8;2;30;32;10;0,113427735834381
8;2;30;64;1;0,150741121852393
8;2;30;64;5;0,112933626071199
8;2;30;64;10;0,115475480568618
8;3;1;1;1;0,214627969918713
8;3;1;1;5;0,114469637751088
8;3;1;1;10;0,126744518884165
8;3;1;8;1;0,150505661831495
8;3;1;8;5;0,150173076914674
8;3;1;8;10;0,146727018169239
8;3;1;16;1;0,208253242838412
8;3;1;16;5;0,155561100586351
8;3;1;16;10;0,148539567174766
8;3;1;32;1;0,193407768924255
8;3;1;32;5;0,160820892005684
8;3;1;32;10;0,155307705269795
8;3;1;64;1;0,197214833616592
8;3;1;64;5;0,172381261089859
8;3;1;64;10;0,151139602315454
8;3;7;1;1;0,136552611182102
8;3;7;1;5;0,224576646055858
8;3;7;1;10;0,118078883143343
8;3;7;8;1;0,135952605949574
8;3;7;8;5;0,106777937778206
8;3;7;8;10;0,110384997392817
8;3;7;16;1;0,141470062649873
8;3;7;16;5;0,107236652766856
8;3;7;16;10;0,107888448692173
8;3;7;32;1;0,119466945371666
8;3;7;32;5;0,118942789612337
8;3;7;32;10;0,107546406943977
8;3;7;64;1;0,155209748184392
8;3;7;64;5;0,107612092699599
8;3;7;64;10;0,106429835289647
8;3;30;1;1;0,324251793388772
8;3;30;1;5;0,135061098086139
8;3;30;1;10;0,171054617701875
8;3;30;8;1;0,188708311470589
8;3;30;8;5;0,127356787059677
8;3;30;8;10;0,116789336980473
8;3;30;16;1;0,139180500272809
8;3;30;16;5;0,116393423583688
8;3;30;16;10;0,109870677725752
8;3;30;32;1;0,123099215957448
8;3;30;32;5;0,109127960980663
8;3;30;32;10;0,111482208827696
8;3;30;64;1;0,117231973029625
8;3;30;64;5;0,109956468224861
8;3;30;64;10;0,110758875384939
